timestamp,path_a,path_b,n_requested,a_wins,b_wins,ties,errors,a_wins_p0,a_wins_p1,b_wins_p0,b_wins_p1,ties_p0,ties_p1,a_winrate,ci95
2026-07-08T09:22:51,training/baselines/v25c.py,opponents/abomasnow_agent.py,200,195,5,0,0,99,96,1,4,0,0,0.975,0.0216
2026-07-08T09:44:12,training/nn/endgame_agent.py,opponents/lucario_agent.py,200,155,45,0,0,78,77,22,23,0,0,0.775,0.0579
2026-07-08T10:06:22,training/nn/endgame_agent.py,opponents/lucario_agent.py,20,12,8,0,0,6,6,4,4,0,0,0.6,0.2147
2026-07-08T10:09:42,training/nn/endgame_agent.py,opponents/abomasnow_agent.py,200,143,57,0,0,74,69,26,31,0,0,0.715,0.0626
2026-07-08T10:16:47,training/nn/selfplay_agent.py,training/random_agent.py,100,77,23,0,0,46,31,4,19,0,0,0.77,0.0825
2026-07-08T10:18:32,training/nn/selfplay_agent.py,main.py,100,5,95,0,0,1,4,49,46,0,0,0.05,0.0427
2026-07-08T10:37:14,training/nn/selfplay_agent.py,training/random_agent.py,100,89,11,0,0,42,47,8,3,0,0,0.89,0.0613
2026-07-08T10:38:10,training/nn/selfplay_agent.py,main.py,100,8,92,0,0,2,6,48,44,0,0,0.08,0.0532
2026-07-08T10:38:28,training/nn/endgame_agent.py,opponents/lucario_agent.py,200,155,45,0,0,75,80,25,20,0,0,0.775,0.0579
2026-07-08T10:58:26,training/nn/endgame_agent.py,opponents/abomasnow_agent.py,200,151,49,0,0,82,69,18,31,0,0,0.755,0.0596
2026-07-08T15:36:25,training/nn/endgame_agent.py,opponents/lucario_agent.py,200,146,54,0,0,75,71,25,29,0,0,0.73,0.0615
2026-07-08T15:47:38,training/nn/endgame_agent.py,opponents/abomasnow_agent.py,200,150,50,0,0,77,73,23,27,0,0,0.75,0.06
