path,truth,belief_top,belief_conf,last_turn,wall_ever,crustle_seen
episode-81217754-replay.json,grimmsnarl,dragapult,0.9999520678738517,20,False,False
episode-81225044-replay.json,dragapult,dragapult,0.9999999993361741,24,False,False
episode-81227155-replay.json,dragapult,dragapult,0.9999999917503611,19,False,False
episode-81242924-replay.json,crustle,alakazam,0.9999989513868397,13,False,True
episode-81246719-replay.json,other/unknown,dragapult,0.8934476110496283,11,True,False
episode-81253767-replay.json,alakazam,alakazam,0.36748053796152497,0,False,False
episode-81261753-replay.json,other/unknown,dragapult,0.9966568763414861,30,False,False
episode-81276880-replay.json,dragapult,dragapult,0.999999998462302,22,False,False
episode-81283286-replay.json,raging-bolt,alakazam,0.36748053796152497,0,False,False
episode-81289035-replay.json,other/unknown,alakazam,0.9181517320245608,23,False,False
episode-81307723-replay.json,dragapult,dragapult,0.999999999998642,21,False,False
episode-81313234-replay.json,other/unknown,alakazam,0.36748053796152497,0,False,False
episode-81344249-replay.json,other/unknown,dragapult,0.9333240508050707,28,False,False
episode-81348176-replay.json,other/unknown,dragapult,0.8905721193794833,7,True,False
episode-81372669-replay.json,dragapult,dragapult,0.9999972347774068,3,False,False
episode-81372790-replay.json,lucario,alakazam,0.36748053796152497,0,False,False
episode-81384059-replay.json,gardevoir,dragapult,0.8807106349788467,17,False,False
episode-81505827-replay.json,other/unknown,dragapult,0.9787375451794427,23,False,False
episode-81543932-replay.json,dragapult,alakazam,0.36748053796152497,0,False,False
episode-81577116-replay.json,alakazam,dragapult,0.5348404140391156,19,False,False
episode-81586521-replay.json,other/unknown,starmie,0.6126755149650567,31,False,False
episode-81588587-replay.json,starmie,starmie,0.9999999889272221,35,True,False
episode-81647914-replay.json,other/unknown,abomasnow,0.37003882991915515,31,False,False
episode-81649173-replay.json,other/unknown,alakazam,0.9999983580367315,21,False,False
episode-81649888-replay.json,dragapult,dragapult,0.9999999999943163,24,False,False
episode-81650999-replay.json,lucario,lucario,0.9999999999996285,10,False,False
episode-81651449-replay.json,dragapult,dragapult,0.9999999999971656,11,False,False
episode-81651578-replay.json,other/unknown,starmie,0.5434176318085013,8,False,False
episode-81652101-replay.json,alakazam,alakazam,1.0,26,False,False
episode-81652720-replay.json,other/unknown,alakazam,0.36748053796152497,0,False,False
episode-81653208-replay.json,abomasnow,abomasnow,0.9999999757624632,20,False,False
episode-81653696-replay.json,other/unknown,lucario,0.920650643889413,15,True,False
episode-81654318-replay.json,alakazam,alakazam,0.9999999891461099,23,False,False
episode-81654946-replay.json,other/unknown,alakazam,0.36748053796152497,0,False,False
episode-81655583-replay.json,lucario,lucario,0.999995930105422,24,False,False
episode-81655867-replay.json,alakazam,alakazam,1.0,13,False,False
